AceleradorX,AceleradorY,AceleradorZ,Modulo
-2.0421448,8.712097,-0.31582642,8.953812
-2.4061432,8.942001,-0.5074005,9.273962
---,---,---,---
-2.0804596,9.095261,-0.08592224,9.330566
-1.8505554,8.903687,-0.66067505,9.117931
-1.6972961,8.942001,-0.39245605,9.110117
-1.6972961,9.306,-0.12423706,9.460332
-2.2911987,9.631699,-0.028442383,9.900506
-2.3486786,8.903687,2.9602509,9.672383
-2.00383,5.780884,3.7265778,7.163891
-4.5901947,10.168121,7.998886,13.727445
-3.3832245,10.532135,-0.009292603,11.062195
-0.6435852,8.328934,-1.6760559,8.520241
-0.011367798,10.819504,-1.6377411,10.9427595
-6.525177,8.520508,-2.212494,10.957742
-0.96928406,6.719635,0.41220093,6.801685
-1.5440216,6.6430054,5.3167114,8.647597
-7.291519,17.908081,-7.538498,20.753181
-3.7280731,7.9457703,0.68040466,8.803224
-0.85432434,9.267685,-0.48825073,9.3197775
-1.5631866,10.6662445,0.3930359,10.787344
-0.1454773,8.961151,1.2934723,9.05519
-3.3065948,6.3364716,3.3050995,7.8745236
-0.2029419,10.43634,3.1135101,10.892765
-3.6322784,3.6543121,2.0214996,5.5347905
-0.26042175,8.041565,1.0252686,8.110842
-1.2374878,9.018631,-0.5648804,9.1206455
-1.2949677,9.267685,-1.618576,9.496669
-1.8888702,8.942001,-0.39245605,9.147745
-1.8505554,8.942001,-0.37329102,9.139108
-1.7739258,8.8845215,-0.37329102,9.067573
-1.8505554,8.961151,-0.35414124,9.157084
---,---,---,---
-1.6398163,9.095261,-0.028442383,9.241946
-1.5823364,9.018631,-0.7373047,9.186028
-1.5823364,8.980316,-0.75645447,9.149978
-1.6398163,8.999466,-0.7373047,9.177309
-1.5248718,8.980316,-0.75645447,9.140215
-1.3715973,9.133575,-0.48825073,9.248885
-1.3141327,8.558838,0.45051575,8.670849
-0.7393799,6.489731,4.416275,7.884591
-1.6206512,5.8575134,3.5158386,7.0212603
-4.283661,12.026489,4.5886993,13.566221
2.7665863,16.183838,-0.18171692,16.419611
0.64001465,8.865372,-0.39245605,8.897104
0.5250702,10.896149,-0.27749634,10.912321
-5.030838,10.896149,0.35472107,12.006715
-1.3715973,6.3747864,0.9869385,6.5949397
-1.5057068,8.597153,4.5695496,9.8518505
-6.333603,5.991623,2.6728668,9.119117
-2.5019379,8.827042,0.22061157,9.17742
-1.1417084,8.903687,-0.23918152,8.9797735
-0.3179016,11.106888,0.41220093,11.119079
0.94654846,9.344315,1.2743225,9.478189
-1.6589813,6.221527,2.2513885,6.821171
-1.5823364,10.647079,4.646179,11.723952
-2.3678284,7.926605,-2.6148071,8.676111
-0.22210693,8.386414,0.20146179,8.391773
-1.0267487,9.516739,0.0098724365,9.571971
-2.00383,9.191055,-1.3312073,9.500681
-1.6398163,8.903687,-0.18171692,9.055255
-2.0996094,8.8845215,-0.66067505,9.153118
-1.2949677,8.922836,-0.23918152,9.019487
-1.6972961,8.8845215,-0.31582642,9.050706
-1.4290771,9.133575,-0.44992065,9.255641
---,---,---,---
-2.1379395,8.8845215,-0.23918152,9.141264
-2.214569,8.8845215,-0.37329102,9.163972
-2.195404,8.903687,-0.41160583,9.179589
-2.252884,8.807892,-0.39245605,9.0999155
-2.2911987,8.8845215,-0.4690857,9.187184
-2.2720337,8.961151,0.20146179,9.246889
-3.708908,9.976547,1.2168427,10.712992
-1.2949677,6.6046906,2.3663483,7.1343174
-0.72021484,7.696701,4.205536,8.800253
-4.187866,16.931,1.5042114,17.50599
-1.4482269,10.742874,-1.1013031,10.895851
-1.6781311,8.443878,-2.0209045,8.843035
0.08442688,10.378876,0.58462524,10.395671
